,Title,Link,Year,Season
0,Fate/stay night,356/Fatestay-night,2006,Winter
1,Ergo Proxy,790/Ergo-Proxy,2006,Winter
2,Hanbun no Tsuki ga Noboru Sora,587/Hanbun-no-Tsuki-ga-Noboru-Sora,2006,Winter
3,Ayakashi: Japanese Classic Horror,586/Ayakashi-Japanese-Classic-Horror,2006,Winter
4,Major S2,558/Major-S2,2006,Winter
5,Kashimashi: Girl Meets Girl,667/Kashimashi-Girl-Meets-Girl,2006,Winter
6,Amaenaide yo!! Katsu!!,886/Amaenaide-yo-Katsu,2006,Winter
7,Magikano,576/Magikano,2006,Winter
8,Kage kara Mamoru!,590/Kage-kara-Mamoru,2006,Winter
9,Futari wa Precure: Splash☆Star,1534/Futari-wa-Precure-SplashStar,2006,Winter
10,Yomigaeru Sora: Rescue Wings,798/Yomigaeru-Sora-Rescue-Wings,2006,Winter
11,Lemon Angel Project,671/Lemon-Angel-Project,2006,Winter
12,Tactical Roar,817/Tactical-Roar,2006,Winter
13,Nerima Daikon Brothers,1655/Nerima-Daikon-Brothers,2006,Winter
14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,577/Kagihime-Monogatari-Eikyuu-Alice-Rinbukyoku,2006,Winter
15,Kinnikuman II Sei: Ultimate Muscle 2,5968/Kinnikuman-II-Sei-Ultimate-Muscle-2,2006,Winter
16,Papillon Rose,3112/Papillon-Rose,2006,Winter
17,Ginyuu Mokushiroku Meine Liebe Wieder,771/Ginyuu-Mokushiroku-Meine-Liebe-Wieder,2006,Winter
18,Youkai Ningen Bem (2006),4823/Youkai-Ningen-Bem-2006,2006,Winter
19,Rakugo Tennyo Oyui,2244/Rakugo-Tennyo-Oyui,2006,Winter
20,Bakukyuu HIT! Crash B-Daman,4563/Bakukyuu-HIT-Crash-BDaman,2006,Winter
21,Wan Wan Serepu Soreyuke! Tetsunoshin,4101/Wan-Wan-Serepu-Soreyuke-Tetsunoshin,2006,Winter
22,Play Ball 2nd,3769/Play-Ball-2nd,2006,Winter
23,Rec,710/Rec,2006,Winter
24,Binchou-tan,750/Binchoutan,2006,Winter
25,Funny Pets,2232/Funny-Pets,2006,Winter
26,Ocha-ken: Hotto Monogatari,119771/Ochaken-Hotto-Monogatari,2006,Winter
27,Furakappa,3414/Furakappa,2006,Winter
28,Mushishi,457/Mushishi,2006,Winter
29,Shakugan no Shana,355/Shakugan-no-Shana,2006,Winter
30,Jigoku Shoujo,228/Jigoku-Shoujo,2006,Winter
31,BLOOD+,150/BLOOD,2006,Winter
32,Black Cat,68/Black-Cat,2006,Winter
33,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,658/Touhai-Densetsu-Akagi-Yami-ni-Maiorita-Tensai,2006,Winter
34,Karin,469/Karin,2006,Winter
35,Noein: Mou Hitori no Kimi e,584/Noein-Mou-Hitori-no-Kimi-e,2006,Winter
36,Mai-Otome,99/MaiOtome,2006,Winter
37,capeta,388/capeta,2006,Winter
38,Solty Rei,152/Solty-Rei,2006,Winter
39,Idaten Jump,1316/Idaten-Jump,2006,Winter
40,Canvas 2: Niji-iro no Sketch,694/Canvas-2-Nijiiro-no-Sketch,2006,Winter
41,Angel Heart,282/Angel-Heart,2006,Winter
42,Sonic X Season 2,129610/Sonic-X-Season-2,2006,Winter
43,Ginga Densetsu Weed,915/Ginga-Densetsu-Weed,2006,Winter
44,Rockman.EXE BEAST,2110/RockmanEXE-BEAST,2006,Winter
45,CLUSTER EDGE,69/CLUSTER-EDGE,2006,Winter
46,Gaiking: Legend of Daiku-Maryu,1845/Gaiking-Legend-of-DaikuMaryu,2006,Winter
47,Fighting Beauty Wulong,913/Fighting-Beauty-Wulong,2006,Winter
48,Bouken Ou Beet Excellion,1123/Bouken-Ou-Beet-Excellion,2006,Winter
49,Gunparade Orchestra,858/Gunparade-Orchestra,2006,Winter
50,D.I.C.E.,2285/DICE,2006,Winter
51,Animal Yokochou,280/Animal-Yokochou,2006,Winter
52,Kotencotenco,8595/Kotencotenco,2006,Winter
53,Giniro no Kami no Agito,1140/Giniro-no-Kami-no-Agito,2006,Winter
54,Hoshi wo Katta Hi,6463/Hoshi-wo-Katta-Hi,2006,Winter
55,Mizugumo Monmon,4306/Mizugumo-Monmon,2006,Winter
56,Yado-sagashi,3570/Yadosagashi,2006,Winter
57,Ski Jumping Pairs: Road to Torino 2006,10627/Ski-Jumping-Pairs-Road-to-Torino-2006,2006,Winter
58,Norabbits' Minutes,8205/Norabbits-Minutes,2006,Winter
59,Chun Tian Hua Hua Tong Xuehui,9820/Chun-Tian-Hua-Hua-Tong-Xuehui,2006,Winter
60,HELLSING OVA,777/HELLSING-OVA,2006,Winter
61,NARUTO: Narutimate Hero 3: Tsui ni Gekitotsu! Jounin tai Genin!! Musabetsu Dairansen Taikai Kaisai!!,1074/NARUTO-Narutimate-Hero-3-Tsui-ni-Gekitotsu-Jounin-tai-Genin-Musabetsu-Dairansen-Taikai-Kaisai,2006,Winter
62,Genshiken OVA,1813/Genshiken-OVA,2006,Winter
63,Rozen Maiden: Ouvertüre,1719/Rozen-Maiden-Ouvertre,2006,Winter
64,Shakugan no Shana Special: Koi to Onsen no Kougai Gakushuu!,1531/Shakugan-no-Shana-Special-Koi-to-Onsen-no-Kougai-Gakushuu,2006,Winter
65,Shakugan no Shana Specials,1066/Shakugan-no-Shana-Specials,2006,Winter
66,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,2448/Koukaku-Kidoutai-Stand-Alone-Complex-2nd-GIG--Individual-Eleven,2006,Winter
67,Maria-sama ga Miteru 3rd Season OVA,1729/Mariasama-ga-Miteru-3rd-Season-OVA,2006,Winter
68,Meitantei Conan: Kieta Daiya wo Oe! Conan & Heiji vs Kid!,1368/Meitantei-Conan-Kieta-Daiya-wo-Oe-Conan--Heiji-vs-Kid,2006,Winter
69,Shakugan no Shana: Naze Nani Shana,6330/Shakugan-no-Shana-Naze-Nani-Shana,2006,Winter
70,Tsukuyomi: Moon Phase Special,2580/Tsukuyomi-Moon-Phase-Special,2006,Winter
71,Winter Garden,1718/Winter-Garden,2006,Winter
72,Maria-sama ga Miteru 3rd Specials,2954/Mariasama-ga-Miteru-3rd-Specials,2006,Winter
73,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma no Hibi,10948/Koukaku-Kidoutai-Stand-Alone-Complex-2nd-GIG--Individual-Eleven--Tachikoma-no-Hibi,2006,Winter
74,Neko Ramen,3535/Neko-Ramen,2006,Winter
75,Mai-Otome Specials,1659/MaiOtome-Specials,2006,Winter
76,Makai Senki Disgaea: Welcome to Netherworld,6741/Makai-Senki-Disgaea-Welcome-to-Netherworld,2006,Winter
77,ToHeart: Remember my memories - Heart Fighters,686/ToHeart-Remember-my-memories--Heart-Fighters,2006,Winter
78,Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,3854/Ginga-Tetsudou-Monogatari-Wasurerareta-Toki-no-Wakusei,2006,Winter
79,Jinki:Extend - Sorekara,848/JinkiExtend--Sorekara,2006,Winter
80,Ankoku Cat,6721/Ankoku-Cat,2006,Winter
81,Koi Koi 7 Specials,2910/Koi-Koi-7-Specials,2006,Winter
82,Catblue: Dynamite,1828/Catblue-Dynamite,2006,Winter
83,Gunparade Orchestra OVA,9445/Gunparade-Orchestra-OVA,2006,Winter
84,Tetsuro no Kanata,7982/Tetsuro-no-Kanata,2006,Winter
85,Sore Ike! Anpanman: Utaou! Odorou! Minna no Christmas,17006/Sore-Ike-Anpanman-Utaou-Odorou-Minna-no-Christmas,2006,Winter
