,Title,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
0,Fate/stay night,2006,Winter,TV,24.0,24.0,Finished,122460.0,68.0,1457.0,Studio DEEN,Visual Novel,Action,81831.0,28558.0,4423.0,4340.0
0,Fate/stay night,2006,Winter,TV,24.0,24.0,Finished,122460.0,68.0,1457.0,Studio DEEN,Visual Novel,Fantasy,81831.0,28558.0,4423.0,4340.0
0,Fate/stay night,2006,Winter,TV,24.0,24.0,Finished,122460.0,68.0,1457.0,Studio DEEN,Visual Novel,Romance,81831.0,28558.0,4423.0,4340.0
0,Fate/stay night,2006,Winter,TV,24.0,24.0,Finished,122460.0,68.0,1457.0,Studio DEEN,Visual Novel,Supernatural,81831.0,28558.0,4423.0,4340.0
1,Ergo Proxy,2006,Winter,TV,23.0,25.0,Finished,93739.0,76.0,2736.0,Manglobe,Original,Adventure,50251.0,31419.0,4708.0,4506.0
1,Ergo Proxy,2006,Winter,TV,23.0,25.0,Finished,93739.0,76.0,2736.0,Manglobe,Original,Mystery,50251.0,31419.0,4708.0,4506.0
1,Ergo Proxy,2006,Winter,TV,23.0,25.0,Finished,93739.0,76.0,2736.0,Manglobe,Original,Psychological,50251.0,31419.0,4708.0,4506.0
1,Ergo Proxy,2006,Winter,TV,23.0,25.0,Finished,93739.0,76.0,2736.0,Manglobe,Original,Sci-Fi,50251.0,31419.0,4708.0,4506.0
2,Hanbun no Tsuki ga Noboru Sora,2006,Winter,TV,6.0,24.0,Finished,13879.0,70.0,80.0,Group TAC,Light Novel,Comedy,7309.0,5768.0,309.0,271.0
2,Hanbun no Tsuki ga Noboru Sora,2006,Winter,TV,6.0,24.0,Finished,13879.0,70.0,80.0,Group TAC,Light Novel,Drama,7309.0,5768.0,309.0,271.0
2,Hanbun no Tsuki ga Noboru Sora,2006,Winter,TV,6.0,24.0,Finished,13879.0,70.0,80.0,Group TAC,Light Novel,Romance,7309.0,5768.0,309.0,271.0
3,Ayakashi: Japanese Classic Horror,2006,Winter,TV,11.0,23.0,Finished,11311.0,69.0,58.0,Toei Animation,Novel,Horror,6228.0,4138.0,371.0,297.0
3,Ayakashi: Japanese Classic Horror,2006,Winter,TV,11.0,23.0,Finished,11311.0,69.0,58.0,Toei Animation,Novel,Psychological,6228.0,4138.0,371.0,297.0
3,Ayakashi: Japanese Classic Horror,2006,Winter,TV,11.0,23.0,Finished,11311.0,69.0,58.0,Toei Animation,Novel,Supernatural,6228.0,4138.0,371.0,297.0
4,Major S2,2006,Winter,TV,26.0,25.0,Finished,10016.0,79.0,152.0,Studio Hibari,Manga,Comedy,7898.0,1657.0,234.0,122.0
4,Major S2,2006,Winter,TV,26.0,25.0,Finished,10016.0,79.0,152.0,Studio Hibari,Manga,Drama,7898.0,1657.0,234.0,122.0
4,Major S2,2006,Winter,TV,26.0,25.0,Finished,10016.0,79.0,152.0,Studio Hibari,Manga,Sports,7898.0,1657.0,234.0,122.0
5,Kashimashi: Girl Meets Girl,2006,Winter,TV,12.0,24.0,Finished,7307.0,62.0,53.0,Studio Hibari,Manga,Comedy,3583.0,2811.0,431.0,249.0
5,Kashimashi: Girl Meets Girl,2006,Winter,TV,12.0,24.0,Finished,7307.0,62.0,53.0,Studio Hibari,Manga,Drama,3583.0,2811.0,431.0,249.0
5,Kashimashi: Girl Meets Girl,2006,Winter,TV,12.0,24.0,Finished,7307.0,62.0,53.0,Studio Hibari,Manga,Romance,3583.0,2811.0,431.0,249.0
5,Kashimashi: Girl Meets Girl,2006,Winter,TV,12.0,24.0,Finished,7307.0,62.0,53.0,Studio Hibari,Manga,Slice of Life,3583.0,2811.0,431.0,249.0
6,Amaenaide yo!! Katsu!!,2006,Winter,TV,12.0,24.0,Finished,5304.0,61.0,24.0,Studio DEEN,Manga,Comedy,3678.0,1223.0,173.0,121.0
6,Amaenaide yo!! Katsu!!,2006,Winter,TV,12.0,24.0,Finished,5304.0,61.0,24.0,Studio DEEN,Manga,Ecchi,3678.0,1223.0,173.0,121.0
6,Amaenaide yo!! Katsu!!,2006,Winter,TV,12.0,24.0,Finished,5304.0,61.0,24.0,Studio DEEN,Manga,Romance,3678.0,1223.0,173.0,121.0
6,Amaenaide yo!! Katsu!!,2006,Winter,TV,12.0,24.0,Finished,5304.0,61.0,24.0,Studio DEEN,Manga,Slice of Life,3678.0,1223.0,173.0,121.0
6,Amaenaide yo!! Katsu!!,2006,Winter,TV,12.0,24.0,Finished,5304.0,61.0,24.0,Studio DEEN,Manga,Supernatural,3678.0,1223.0,173.0,121.0
7,Magikano,2006,Winter,TV,13.0,24.0,Finished,4031.0,57.0,21.0,,Manga,Comedy,2228.0,1362.0,195.0,123.0
7,Magikano,2006,Winter,TV,13.0,24.0,Finished,4031.0,57.0,21.0,,Manga,Fantasy,2228.0,1362.0,195.0,123.0
