Unnamed: 0,Title,Link,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
0,0,Fate/stay night,356/Fatestay-night,2006,Winter,TV,24,24 mins,Finished,122460,68%,1457,Studio DEEN,Visual Novel,"Action,Fantasy,Romance,Supernatural",81831,28558,4423,4340
1,1,Ergo Proxy,790/Ergo-Proxy,2006,Winter,TV,23,25 mins,Finished,93739,76%,2736,Manglobe,Original,"Adventure,Mystery,Psychological,Sci-Fi",50251,31419,4708,4506
2,2,Hanbun no Tsuki ga Noboru Sora,587/Hanbun-no-Tsuki-ga-Noboru-Sora,2006,Winter,TV,6,24 mins,Finished,13879,70%,80,Group TAC,Light Novel,"Comedy,Drama,Romance",7309,5768,309,271
3,3,Ayakashi: Japanese Classic Horror,586/Ayakashi-Japanese-Classic-Horror,2006,Winter,TV,11,23 mins,Finished,11311,69%,58,Toei Animation,Novel,"Horror,Psychological,Supernatural",6228,4138,371,297
4,4,Major S2,558/Major-S2,2006,Winter,TV,26,25 mins,Finished,10016,79%,152,Studio Hibari,Manga,"Comedy,Drama,Sports",7898,1657,234,122
5,5,Kashimashi: Girl Meets Girl,667/Kashimashi-Girl-Meets-Girl,2006,Winter,TV,12,24 mins,Finished,7307,62%,53,Studio Hibari,Manga,"Comedy,Drama,Romance,Slice of Life",3583,2811,431,249
6,6,Amaenaide yo!! Katsu!!,886/Amaenaide-yo-Katsu,2006,Winter,TV,12,24 mins,Finished,5304,61%,24,Studio DEEN,Manga,"Comedy,Ecchi,Romance,Slice of Life,Supernatural",3678,1223,173,121
7,7,Magikano,576/Magikano,2006,Winter,TV,13,24 mins,Finished,4031,57%,21,NaN,Manga,"Comedy,Fantasy,Romance",2228,1362,195,123
8,8,Kage kara Mamoru!,590/Kage-kara-Mamoru,2006,Winter,TV,12,24 mins,Finished,3249,61%,17,NaN,Light Novel,"Comedy,Romance",1628,1282,129,111
9,9,Futari wa Precure: Splash☆Star,1534/Futari-wa-Precure-SplashStar,2006,Winter,TV,49,24 mins,Finished,3152,70%,64,Toei Animation,Original,"Action,Adventure,Comedy,Fantasy,Mahou Shoujo",1700,1029,185,121
10,10,Yomigaeru Sora: Rescue Wings,798/Yomigaeru-Sora-Rescue-Wings,2006,Winter,TV,12,23 mins,Finished,2786,70%,21,J.C. Staff,Original,Drama,1678,890,79,76
11,11,Lemon Angel Project,671/Lemon-Angel-Project,2006,Winter,TV,13,20 mins,Finished,1438,57%,1,Radix,Other,"Drama,Music",700,537,82,60
12,12,Tactical Roar,817/Tactical-Roar,2006,Winter,TV,13,25 mins,Finished,1402,58%,1,NaN,Original,"Comedy,Romance,Sci-Fi",636,577,81,63
13,13,Nerima Daikon Brothers,1655/Nerima-Daikon-Brothers,2006,Winter,TV,12,24 mins,Finished,1371,65%,16,Studio Hibari,Original,"Comedy,Music",710,476,84,60
14,14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,577/Kagihime-Monogatari-Eikyuu-Alice-Rinbukyoku,2006,Winter,TV,13,24 mins,Finished,1351,53%,6,NaN,Manga,"Action,Drama,Fantasy,Mahou Shoujo,Romance",694,440,94,64
15,15,Kinnikuman II Sei: Ultimate Muscle 2,5968/Kinnikuman-II-Sei-Ultimate-Muscle-2,2006,Winter,TV,13,20 mins,Finished,1228,68%,8,NaN,Manga,"Action,Comedy,Sci-Fi,Sports",907,256,29,23
16,16,Papillon Rose,3112/Papillon-Rose,2006,Winter,TV,6,25 mins,Finished,1057,33%,3,Studio Kelmadick,Original,"Comedy,Ecchi,Mahou Shoujo",543,366,76,44
17,17,Ginyuu Mokushiroku Meine Liebe Wieder,771/Ginyuu-Mokushiroku-Meine-Liebe-Wieder,2006,Winter,TV,13,24 mins,Finished,914,58%,1,NaN,Visual Novel,"Drama,Fantasy",500,321,33,31
18,18,Youkai Ningen Bem (2006),4823/Youkai-Ningen-Bem-2006,2006,Winter,TV,26,25 mins,Finished,695,56%,6,NaN,Original,Horror,369,209,43,40
19,19,Rakugo Tennyo Oyui,2244/Rakugo-Tennyo-Oyui,2006,Winter,TV,12,24 mins,Finished,551,50%,1,NaN,Original,Comedy,335,132,32,29
20,20,Bakukyuu HIT! Crash B-Daman,4563/Bakukyuu-HIT-Crash-BDaman,2006,Winter,TV,50,23 mins,Finished,382,50%,1,NaN,Original,Adventure,188,134,24,20
21,21,Wan Wan Serepu Soreyuke! Tetsunoshin,4101/Wan-Wan-Serepu-Soreyuke-Tetsunoshin,2006,Winter,TV,51,23 mins,Finished,266,48%,2,Studio Comet,Original,"Comedy,Fantasy",161,52,22,21
22,22,Play Ball 2nd,3769/Play-Ball-2nd,2006,Winter,TV,13,20 mins,Finished,153,51%,2,NaN,NaN,"Action,Sports",68,49,19,11
23,23,Rec,710/Rec,2006,Winter,TV Short,9,13 mins,Finished,17965,69%,96,Shaft,Manga,"Comedy,Drama,Romance",10025,6904,371,338
24,24,Binchou-tan,750/Binchoutan,2006,Winter,TV Short,12,12 mins,Finished,2196,65%,22,Studio DEEN,Manga,"Comedy,Slice of Life",1039,916,100,79
25,25,Funny Pets,2232/Funny-Pets,2006,Winter,TV Short,12,6 mins,Finished,350,40%,2,NaN,NaN,Comedy,176,116,31,16
26,26,Ocha-ken: Hotto Monogatari,119771/Ochaken-Hotto-Monogatari,2006,Winter,TV Short,13,3 mins,Finished,95,53%,1,Four Some,Other,Slice of Life,40,29,12,9
